,Rome,Milan,Naples,Turin,Palermo,Genoa,Bologna,Florence,Bari,Catania,Verona,Venice,Messina,Padova,Prato,Trieste,Brescia,Parma,Taranto,Modena,Reggio di Calabria,Reggio Emilia,Perugia,Ravenna,Livorno,Rimini,Cagliari,Foggia,Ferrara,Salerno,Latina,Giugliano in Campania,Monza,Sassari,Bergamo,Pescara,Trento,Forlì,Siracusa,Vicenza,Terni,Bolzano,Piacenza,Novara,Ancona,Udine
Livorno,256.2584419952406,230.62486067170218,443.9671404139763,269.97512059285725,656.1932807641685,145.91684623871177,133.5440589705225,80.09918042267677,603.7173735868892,784.4036569943122,216.60469933962875,264.38534917680096,741.0205326195569,240.9412229051979,73.28707933560254,360.3817102816663,220.9118686601865,138.85910661531716,668.3086155225122,131.21581226860852,753.0369891923688,130.19536493385252,175.66098909034986,179.7006209333268,,190.39045677824035,490.55242609071604,488.84463670219964,176.6713114715887,486.9373843481893,314.80486165949816,433.07645472997086,240.25973018173946,345.5011777631846,243.47622113209508,340.5570267683258,286.6839109683854,159.10877293171038,834.6694070069758,242.96168662387558,219.58220421013462,337.6371910294888,173.39768639664192,250.15749135399645,259.20748169360326,362.77043014924425
Rimini,240.76021170818916,309.8010565815231,384.1171162429774,404.72431698336544,663.4265878773713,293.0271817048293,109.09772624367385,110.29131942531104,480.187904811373,758.7861972460456,197.6188465141853,154.52637206202087,697.8899976493183,159.36574466149582,119.7526631395656,200.7024161686006,248.06314373816005,196.51060769691864,554.4588276459502,146.27461219487134,709.0438775370808,169.83644069377567,106.23046667363022,49.28100491181786,190.39045677824035,,608.8933869932687,377.47240234847095,114.5993560575713,416.42632447254636,289.26682655942636,372.2548834559482,310.7538475520075,495.8720554634351,292.341272209779,221.94186331794205,250.65664173097605,45.749370475349004,809.5367409082157,184.1948527476009,166.47609180335817,287.25897299122545,253.07283370843953,348.92296904511863,90.74595212165902,229.14087128072785
Cagliari,411.1962948124727,693.0705154395512,473.3783046508142,660.6529449620151,389.88576914178583,575.8985759148637,613.4904925359324,535.3619884171945,693.0688698076898,556.5070068661007,707.0521171394574,739.1452985345405,571.912140546337,723.0977206304373,542.6338840600524,809.5401085226929,706.947270460646,627.2212649099584,709.2276053459345,620.2727942636205,582.178834695533,620.7386182841261,511.52334593220644,630.7543026496346,490.55242609071604,608.8933869932687,,600.2719089255647,656.1962215899271,508.8045817567251,406.934084110198,473.0600484144557,706.1366734552096,172.97650806990018,719.8556493478796,560.5060556391323,777.2312621968629,607.2353004103492,591.8685095954731,730.327218649797,474.86893528910423,828.1121490600818,648.5316458364617,692.357574264915,610.7426065618585,831.2174794539432
Foggia,259.4646286645136,679.5559346450992,129.4082175807226,754.1113440548745,416.1891624080889,631.0126822853357,480.32450169880894,435.4251450274937,116.83917622431355,441.86591022961784,574.9535639667471,512.5030102254655,363.13996907316647,529.0495983767795,452.76784549114785,486.68537800242296,624.5910943870493,563.4525126142995,180.46118055822774,516.1900936377327,372.03682683425234,537.6556656648668,318.26180204414794,426.5939450325533,488.84463670219964,377.47240234847095,600.2719089255647,,492.07126932086203,109.27405814508313,220.74667632067542,127.77854281754824,682.7040728971563,592.5127926808344,667.6373354494693,156.6167220692691,623.2356759439152,419.794153693566,488.44528129362624,557.0532520379518,269.71484733184053,652.399859072914,619.4231876130693,714.1216624524661,291.4815659937851,544.1615468037672
Ferrara,334.1088320926118,203.40338515994574,493.69782801798914,312.1072798606625,760.122739144143,218.09764824139876,43.52395138049813,121.48992007930264,593.9529174791822,864.7897008733308,83.2680445260932,87.78613075273279,807.1079381446642,66.92217868613054,113.67257537881223,191.91596536614173,134.87860100301216,101.99230413471942,668.7507413368635,58.56134616920264,818.4705087263601,79.2482884124141,201.01975717084943,65.60971918591265,176.6713114715887,114.5993560575713,656.1962215899271,492.07126932086203,,528.1092526386768,388.3187863878433,481.8363818162257,202.0701144920146,520.2035427712507,180.30907356038747,336.403740867025,142.5509286356812,75.04314647975362,915.6804972521923,79.82309622814631,265.5353015336453,186.15570370475098,153.18001494833854,245.6916720076758,203.2537921188481,186.49593304818876
Salerno,233.46574734632566,698.5656073582617,46.260704872922794,756.9067994119032,309.17994407664776,632.7895320824659,507.92637054553467,448.93186081711866,184.26787471046018,354.2571684382097,611.0260643816164,564.4119113447742,284.45815482318665,575.027517330606,466.4350622622673,557.932440207717,653.8359339138909,583.962442294842,211.5507026393576,540.988131325706,295.0434560486232,559.9318263739955,334.10830233449485,465.0501608780502,486.9373843481893,416.42632447254636,508.8045817567251,109.27405814508313,528.1092526386768,,178.77755632601477,55.1767648406858,703.8764807786538,523.925950501473,693.5994223423268,203.26236862371732,667.0820611242489,453.16737806426823,403.5182414048449,600.6070837929151,273.5226687244831,702.2274535722032,637.3550490436975,728.3421549905927,341.9412320862819,611.0150782906652
Latina,58.866229908131906,536.3040623892289,133.15138417167387,583.812015911238,374.1769131853208,460.3218656618076,359.51791477111817,289.5158349076298,334.07321344325624,478.9060403175819,467.5103332729219,443.76659812000867,428.4280365490866,445.4489828360278,306.29205846894956,469.9951942329624,501.65539631842216,425.5363921854287,381.6072838278923,388.11595769188193,440.3009445587358,403.8913089378167,187.58962846699524,332.5654122973927,314.80486165949816,289.26682655942636,406.934084110198,220.74667632067542,388.3187863878433,178.77755632601477,,123.6069127866444,543.2596295721235,374.08579995772857,537.3356807701334,155.13735192335176,530.867946441497,315.10182485849253,529.7784847650621,466.60934365658693,123.5164624578552,572.6041144883088,475.40880586141395,562.1111001746686,244.04769762920964,511.727651403943
Giugliano in Campania,178.60966266850727,647.2952118483165,11.87091219076155,703.0245911925365,320.7889376071531,578.9899512706832,459.47848499101076,397.70693953116336,225.65168568910133,388.7575474951682,564.2136514422514,523.1747843891103,325.65804288636843,531.566584805669,415.1218835429294,525.339644857454,604.9882872901168,533.4088614662237,262.5744906189263,491.62576486260974,336.87093714065475,509.8804088754674,284.65541842825405,420.10498451515735,433.07645472997086,372.2548834559482,473.0600484144557,127.77854281754824,481.8363818162257,55.1767648406858,123.6069127866444,,653.0226608785919,475.90396413456847,643.8169146825704,170.2067752049399,622.3382715622408,406.7991280489011,439.1161055188848,556.1544948818288,222.44982545312942,659.3356517382367,586.0660295044687,676.1240963107865,303.4556156323314,575.7604527013519
Monza,484.6382904168464,14.52181732032318,664.5801227691791,137.20073603938016,895.9172675058921,133.04365108030984,203.08327262573818,255.35472669358194,789.4988312287143,1019.9112493212925,135.30339002504797,239.5014003269741,971.6177855691462,204.4985361168531,238.0182271535381,350.7573130009398,74.07831466914756,120.0821143998869,862.0739870848873,166.61545567692454,983.4498133903248,145.18478722500177,370.2361945118737,264.80712605755593,240.25973018173946,310.7538475520075,706.1366734552096,682.7040728971563,202.0701144920146,703.8764807786538,543.2596295721235,653.0226608785919,,542.6940512161101,33.29323251947945,526.1499151863809,152.95174445768356,265.6660666659482,1070.5226461703876,177.74177056241098,430.6281547959263,190.4761771172386,68.07864936892915,53.43123032883814,401.4688254126271,312.3113875641906
Sassari,353.13277671837136,529.1039390752813,480.4463414089854,488.8630970001166,504.86948194197834,410.425861996405,476.68002023375266,404.72284017847903,700.8655362502957,668.5817780287855,559.647475470911,606.8902166293987,664.1875134156387,585.8266401056477,408.0207517518402,691.5151231371196,551.3969311365005,475.21781555322593,735.280455409564,476.5483852534838,675.690280321512,472.9110255784005,413.6025475974692,507.23148457825664,345.5011777631846,495.8720554634351,172.97650806990018,592.5127926808344,520.2035427712507,523.925950501473,374.08579995772857,475.90396413456847,542.6940512161101,,559.278002661566,509.31055636543016,628.3222325228181,483.74862761468376,710.6711397058775,588.3920452168375,396.424931269834,679.6625753932245,489.22022810038334,524.7535202287002,520.2744827481164,703.5249930143692
Bergamo,479.1807577376648,45.233905884964614,655.493291284058,170.48388594708734,895.5600095727998,154.0465883062522,187.49280934854292,247.86168128129378,772.4387551358716,1015.5793138343,107.12356921910948,209.71892934924068,964.904109724577,175.35483875487682,231.05604955490787,319.49430507355737,46.295018492929294,111.93205258380623,846.1013636087205,152.77244127680177,976.6356931650603,134.0019417795558,359.50689046318024,244.86770640818253,243.47622113209508,292.341272209779,719.8556493478796,667.6373354494693,180.30907356038747,693.5994223423268,537.3356807701334,643.8169146825704,33.29323251947945,559.278002661566,,511.0584354103624,119.66228482963486,248.26430265551892,1066.3399689670523,147.49773552381637,421.5334878480356,157.92549441501322,71.72320007652301,86.60924834304906,382.57380094705377,279.6603243032369
Pescara,156.48107619062466,523.1512708243162,181.17396813739015,600.9871829507279,488.27750323903354,479.0422930049633,323.7103595118297,281.2543152083211,265.9175936569413,556.2548482140627,419.54453858517957,363.4633866998659,487.6844462890206,376.86122885988397,298.34085877016025,355.78789451475126,468.1920519353541,407.08115548023204,336.1541094427581,359.5987026999502,498.182238467488,381.17591189503406,165.7801216839605,271.2131980703826,340.5570267683258,221.94186331794205,560.5060556391323,156.6167220692691,336.403740867025,203.26236862371732,155.13735192335176,170.2067752049399,526.1499151863809,509.31055636543016,511.0584354103624,,470.44433786887987,263.44800786983785,606.0219288916597,403.92714444705825,129.7076089198082,502.57318723941205,463.2283950931952,558.2599584624775,140.09266226122205,407.8703373283849
Trento,476.4920787767408,164.0265035995358,634.209107806393,290.09241992991934,902.3646476250782,251.49390694881808,175.69436342322268,255.30795727624815,718.6145894507849,1006.8535348693899,70.4735678342248,117.45591543922679,947.9576806058535,94.31245891113674,242.92700552889107,211.20204799742774,91.08862897733133,153.55967835504507,795.6163174096339,158.6244870902426,959.2066777104633,156.5402888799548,343.4928611633799,202.25212073040854,286.6839109683854,250.65664173097605,777.2312621968629,623.2356759439152,142.5509286356812,667.0820611242489,530.867946441497,622.3382715622408,152.95174445768356,628.3222325228181,119.66228482963486,470.44433786887987,,216.5659892326035,1057.7233296669933,66.5773484359011,407.98073991658305,51.34403141358261,158.12057637316104,206.21292309187297,331.8099539481554,163.75686643152923
